Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	RefInt_/project/hanigan/Data/Proteomics/09242025_B/Replicate_2/fragpipe_output
P49591	1	SARS1	0.9884	19.129125515481093	19.296940357947225	NA	18.996857083359405	19.54142103357752	19.451233651169712	19.29131820493994	20.481400965228918	19.417154593162902	20.097118206708565	19.24845509787425	19.129125515481093
P49748	2	ACADVL	0.9969	21.614853353340607	21.457383603698915	NA	21.35625353072986	21.31490804262509	22.839306452308243	21.221816240954777	NA	21.864212694795086	21.482461405934195	21.87420247044267	21.614853353340607
P50213	1	IDH3A	0.9782	22.233974778942176	22.36430060376598	NA	21.03126757916222	NA	21.833446095568135	22.24334489269911	NA	22.012195248592434	21.94117296063679	22.004709699596045	22.233974778942176
P50402	1	EMD	0.9984	20.474522659872772	19.28191759678442	NA	NA	20.813222832197557	21.227787573458784	20.27543037269833	NA	21.112329011696772	20.637782119152302	21.625151686838546	20.474522659872772
P50990	1	CCT8	0.9963	20.4935776193839	20.702688318778506	NA	21.050028027623167	20.433964953645102	20.134324949561446	20.731438968713615	NA	20.389602211425373	20.875149071695553	19.700913687291386	20.4935776193839
P51572	3	BCAP31	0.9931	22.501852324782323	22.562381776707443	22.842504120011885	22.428188103848065	22.448038730619768	23.27715020712511	22.189408493472484	22.529597632062995	23.269331101226197	23.52023889026131	23.613382406507604	22.501852324782323
P52272	3	HNRNPM	0.9936	23.98113719789428	23.802474325505766	NA	23.789424669223088	23.716386109663556	24.056412786788613	24.381799185949706	NA	23.76597623724096	23.457933977638472	23.73638915141808	23.98113719789428
P52597	1	HNRNPF	0.9967	18.702946801458285	18.838796486606665	18.971689354018196	19.443103841711213	18.66404156858691	19.45368414444979	19.268388243541416	18.611849320464806	18.479831929432073	18.96820020543498	19.58955379380544	18.702946801458285
P52815	2	MRPL12	1.0	23.279095586709644	21.62529159644447	24.59390805109847	23.437172641717144	23.30314351612335	23.43232136490104	NA	NA	22.373074315205045	24.673795902804482	23.267538794070784	23.279095586709644
P52907	1	CAPZA1	0.9987	17.888758259059568	18.15170486707407	NA	18.19139156843416	NA	18.359103966854402	18.068876795576294	NA	17.673519140765723	17.529783820321455	16.745626101769187	17.888758259059568
P53007	1	SLC25A1	0.9879	19.523858537318343	19.743611316901177	NA	19.595492928580352	19.444558426921752	19.75070873154797	20.12499175024021	18.780711174963415	19.52495668087079	19.865528932157808	19.400555313158147	19.523858537318343
P53597	1	SUCLG1	0.9544	18.827284355029324	18.856460583175764	NA	19.127335466664263	NA	19.89198026012068	18.770307938808084	NA	18.283344238109592	17.999466732180572	18.804820503218014	18.827284355029324
P54886	5	ALDH18A1	0.9998	25.451677822799983	23.945127078313064	25.41596896416092	24.860120513678805	25.64329989290736	26.319757171644852	24.089364040029434	25.173067084755118	26.628643323672588	27.463464691083416	26.988111060795646	25.451677822799983
P55060	1	CSE1L	0.9389	18.115621710889023	18.43457238905946	NA	18.54770871215201	18.55030880000545	17.148067239450825	18.60681660633954	NA	17.737244599186585	17.34330208524766	17.380311185432667	18.115621710889023
P55072	2	VCP	0.9975	22.477686696729783	22.647030979999514	NA	22.781496665550186	23.164280911456277	22.297344467168138	22.46114287383252	22.357128804960638	22.54671390444963	22.480454740998777	22.591702144100505	22.477686696729783
P55084	3	HADHB	0.9947	23.0234067326681	23.06025923391103	NA	23.108687615858603	23.193965259720052	23.293721684219058	22.921343137508615	23.44372380589844	23.590075000375496	24.345597345616433	23.027654519270275	23.0234067326681
P55769	1	SNU13	0.9893	21.98703340201517	22.013730232189527	NA	20.846402731443465	NA	21.810479168396242	22.264082939476086	NA	21.822594036067184	21.253819298820726	21.574499263759037	21.98703340201517
P55884	1	EIF3B	0.9839	19.74140588143932	19.26295549120545	NA	NA	NA	NA	19.100703589953135	NA	18.064175072013285	NA	NA	19.74140588143932
P56381	4	ATP5F1E	0.995	23.972026194488446	22.55989956094119	23.799486981683764	22.76641651637044	22.146062509258968	24.491800079795	23.211536508397888	24.922614146201756	25.443159996799317	26.089134122478164	24.91307210013072	23.972026194488446
P60660	1	MYL6	0.9967	18.026272172289644	17.58346193172182	NA	17.815608486373833	NA	19.319995795113652	18.060352260536256	NA	17.98537321310369	17.09066780596961	18.2182274562123	18.026272172289644
P60709	18	ACTB	1.0	29.029203396372083	29.548373904517376	29.64375554671992	28.890019205088777	29.87403233921103	27.358142346176397	28.774187580915154	28.094543342837614	26.257947926710997	24.948803324179373	26.492577586669533	29.029203396372083
P60900	1	PSMA6	0.9999	22.06442847633999	22.234924077389756	NA	22.19084855838814	22.069657473077918	22.704251836930613	22.02714342260023	NA	22.087709366760887	21.96560030587391	22.468345220116905	22.06442847633999
P61247	2	RPS3A	0.9981	21.049678193353536	20.480805416869735	NA	20.859258280553906	NA	21.3273606942064	20.963191210222842	21.15771601329809	21.239200524665613	21.401779085244687	21.736870049363503	21.049678193353536
P61289	1	PSME3	0.9845	20.854884012829213	21.03813282003588	20.126324170513957	21.563116057344377	20.955591978432707	20.859251851743046	21.127957707694716	20.255749238912983	21.725094069387023	21.882032709343044	21.271637630289842	20.854884012829213
P61313	1	RPL15	0.9986	22.826405643871787	22.8727565838201	NA	22.69913349600504	22.070271239909633	23.30870205570258	22.889656085189998	NA	22.368512571213557	21.15249955848981	23.956115763392056	22.826405643871787
P61604	8	HSPE1	1.0	26.156039443585136	25.780047630883423	25.838825452327708	27.018880332415552	26.528746693083402	27.871860859481473	25.98676974280716	27.421869855484836	26.797536493715146	26.83661098398543	26.596921609100338	26.156039443585136
P61978	9	HNRNPK	1.0	24.4858553662197	24.800042919412927	24.14164580383976	24.401695989773135	24.509903295633404	23.372094493848003	24.64077514989034	NA	22.878702378146965	22.61900670013355	23.729170240689694	24.4858553662197
P61981	1	YWHAG	0.9557	20.217570824524525	20.419110383053674	NA	21.3716635389642	20.16535010538183	18.669506058438014	20.53346905478346	NA	20.158031768647863	19.29364276958314	20.116688385779398	20.217570824524525
P62081	2	RPS7	0.979	20.349746320304725	20.73915186915553	NA	20.66556371918653	20.78091842019134	19.979205969289644	20.370783607509058	20.57493572812721	20.484221014888753	20.56153274615011	20.19693120015448	20.349746320304725
P62249	1	RPS16	0.9958	22.28774619231823	21.838369767484767	NA	22.398871816230173	NA	21.818012318597575	22.225336298868516	NA	22.112895594085092	23.131727082522907	22.0448185415614	22.28774619231823
P62491	1	RAB11A	0.9709	22.232726342895923	22.33205410752061	NA	22.435491007716998	NA	22.641477922380904	22.223720383475463	NA	21.873028598789116	21.967537452279796	22.56277603952588	22.232726342895923
P62701	2	RPS4X	0.9991	22.533894016085227	22.349585997477494	22.73709178411144	23.186509046082705	23.270446136148962	22.30397709259949	22.231905581328107	23.497672460943836	22.34289609774677	22.85579136167826	22.551297083700426	22.533894016085227
P62736	1	ACTA2	0.9902	16.673441761457752	15.98528512160616	NA	17.96915344023306	18.407150095687474	17.638939602411007	NA	17.30196576457037	15.38589756868594	NA	16.522929865218522	16.673441761457752
P62753	2	RPS6	0.9971	21.842933221508048	21.48176146632852	NA	21.868398880608346	21.096309036226938	21.592762797468787	21.868721846826514	22.131215979283915	22.259367498116916	22.146201948227244	22.504332765002335	21.842933221508048
P62805	6	H4C1	1.0	26.551590928245577	27.353210213187285	27.44527160538635	26.760589403845742	27.31416381528929	23.791971626718325	26.86449294318367	27.474400529916238	21.516870577156773	26.26532478106482	22.190882484197203	26.551590928245577
P62857	1	RPS28	0.9835	21.975161639432688	21.405359457312187	NA	21.08394758308305	NA	22.714935590102087	21.322192992610777	NA	21.82833684099211	21.365203665322504	22.942038122404966	21.975161639432688
P62873	1	GNB1	0.9979	21.275518117831872	21.132100037297533	NA	21.346032989538443	NA	20.977190848044017	21.244336317025994	NA	21.552981575052545	20.65123961744285	21.667391010415702	21.275518117831872
P62888	1	RPL30	0.9953	22.317445875580894	21.675849313148262	NA	21.01200006548199	NA	23.32615376867093	21.752523198172007	NA	22.156608809672775	22.658999199469722	23.43158783932464	22.317445875580894
P62899	1	RPL31	0.9995	22.893699251831592	21.941227864841405	NA	22.91721511070539	NA	24.14155637925849	22.153648911602655	23.07007890614888	23.217659183403963	23.661896976545478	24.37508367800828	22.893699251831592
P62910	1	RPL32	0.9696	22.90988457114004	22.44006398608561	NA	22.51376166605878	NA	23.528852089097974	22.49767584056532	NA	22.61274040657316	22.45418457680785	24.122029105268698	22.90988457114004
P62917	2	RPL8	1.0	24.126642845196624	23.54669586632173	NA	24.136661053870977	24.024895346437894	24.96923808669383	23.5441579934	24.116045238742046	24.310551632571766	24.18079373336991	25.774365361518928	24.126642845196624
P62937	1	PPIA	0.9969	24.141408213572753	24.457481015433373	NA	24.222895726670515	24.121372936587843	23.964112112863166	24.96417466944446	21.94353041007778	24.319444141659595	23.276937318594104	23.58881935480887	24.141408213572753
P62995	1	TRA2B	0.9819	21.42261245698148	20.84056853067091	20.750314072886233	22.404210660119414	22.294418688434828	22.323009518410682	22.256664194236958	22.659255615382687	21.411055902390117	21.941988255106036	22.396254459038225	21.42261245698148
P63104	1	YWHAZ	0.9328	24.35562249575301	24.78249284878371	NA	24.52272412581401	25.300629777903165	24.423198165631835	24.82097325717372	24.829913977406783	24.258054638896645	24.114286887855954	24.351374709150832	24.35562249575301
P63244	1	RACK1	0.9578	24.933914196790308	24.737415469021833	NA	25.392127544570524	NA	25.299444984836903	24.6262210238329	NA	25.20088161595481	25.400084810335507	25.3497394528624	24.933914196790308
P67809	2	YBX1	0.9992	22.59869715943077	22.206523652212635	NA	22.791560731747108	NA	23.568792002213645	22.13083019295419	21.939479876359712	22.491156392099857	23.031538223024917	22.84026291952897	22.59869715943077
P68104	3	EEF1A1	0.9996	23.521828441439755	23.97937965845266	22.533865130088266	23.545926554422273	24.422504253253624	23.248992180309347	24.050089915258493	23.39937285393899	23.605631666294947	23.251741417164602	23.3668793842016	23.521828441439755
P68431	6	H3C1	1.0	27.63948733321384	27.924545053317438	NA	27.36724653472321	27.930362625638033	25.704261548954488	27.500659314362547	28.920843998032915	26.259795649164108	28.71739081542016	25.94182081376141	27.63948733321384
P80723	4	BASP1	0.9989	23.261888218438646	23.361558591647093	22.574936111055	23.606018431520265	24.153073065100536	23.472508408434464	23.319454721970263	24.349989047938678	23.183813290085663	23.335999284740733	23.227746382759715	23.261888218438646
P81605	1	DCD	1.0	21.825395728505832	20.956091989155972	24.190902174387748	23.474481780152583	24.187954551157876	23.3967320270312	21.571761539320377	23.81805728446149	22.32549865126268	22.30834086226761	22.400628507144482	21.825395728505832
P82650	1	MRPS22	0.9988	21.43256701574578	20.998455796944135	22.143255448101915	22.220204149085042	22.19699840136729	22.490461947323723	21.320056456048167	22.46929696309983	22.294578219879373	22.88742184525125	22.353821145659076	21.43256701574578
P82673	1	MRPS35	0.9955	21.493252396030517	20.78024539666597	21.38714525973336	21.452489295103184	20.84251624760759	22.0851572054632	22.193190939101907	NA	21.756763793304682	22.904937207633445	22.51055422238295	21.493252396030517
P82675	1	MRPS5	0.9132	17.838394069063874	16.264821083841415	NA	NA	17.737098180783594	17.618329931729736	17.2542042576016	NA	18.932902896470285	18.92335834661191	18.635830899616725	17.838394069063874
P82914	3	MRPS15	0.996	22.200458344577463	21.792595495045575	NA	22.52120720936842	22.04601488047621	22.548315962155414	21.919025107768103	21.739998815539273	23.00185456387756	23.34726302502562	23.066027982430363	22.200458344577463
P82930	1	MRPS34	0.993	21.7981010089463	21.264079863481186	NA	22.750482756297146	21.22533674167222	22.06707883866663	21.526128611066596	NA	22.552469180145124	22.73518907665773	22.31511154344279	21.7981010089463
P82933	2	MRPS9	0.9985	21.833065000760485	21.589760583319396	NA	20.90615599878553	21.440061891031913	21.51168931096363	21.33726436550795	NA	22.386895713869123	22.485004855291354	22.231932273617446	21.833065000760485
P82979	1	SARNP	0.9877	19.366853382325733	19.040628329380684	NA	20.24020501153569	NA	18.263831923594783	20.097698921975404	NA	18.939844839536395	19.43918336756221	18.80539728062353	19.366853382325733
P83881	1	RPL36A	0.9744	19.97067659962182	18.966650323548187	NA	20.10162481230762	NA	20.301080753275297	19.15003065608116	NA	20.543425654119797	21.06784685970219	20.744248444593328	19.97067659962182
P84098	1	RPL19	0.9997	22.187924695402216	21.376701041867374	NA	22.119234069485397	21.75998255029951	22.987050516470283	22.40501996034958	22.241278152982726	22.940778851155553	22.675041433451174	23.690004745155886	22.187924695402216
P84103	2	SRSF3	0.9963	21.24038673130298	21.555073319690507	NA	21.499267868755606	NA	21.01970842681921	21.022879372002855	NA	20.124921966160624	20.09517549876325	21.050399347830087	21.24038673130298
Q00059	1	TFAM	0.9831	20.12263746377092	20.018669551483175	NA	19.961912565722738	19.931437111922715	20.20178002280609	20.622437182725207	NA	20.043564245620814	20.56260767116402	20.48979052038029	20.12263746377092
Q00325	2	SLC25A3	0.9804	22.759255764199143	22.951404216775693	NA	22.67472104910695	22.030048257191762	23.26549838373525	22.69962727283966	NA	23.105238117527307	22.04772525051273	23.100093972692246	22.759255764199143
Q00610	1	CLTC	0.9966	21.151277195664644	21.178717463895307	NA	21.45110202980933	NA	20.974030563219817	20.979524391465137	NA	21.49018010432593	20.731789430699127	20.933967753063897	21.151277195664644
Q00765	1	REEP5	0.9893	18.920639692114545	18.986237301936782	NA	19.18573589807494	19.317206268080778	19.723844350040387	18.911665451266355	18.983285422134752	19.313561834808045	18.77202917047759	19.71970791787361	18.920639692114545
Q00839	5	HNRNPU	0.9994	24.168526456992243	24.764894443957097	25.56006641547102	24.357333646906778	24.369820222643455	21.678682139702865	23.755891136734242	25.26812593357746	22.058924149330785	21.86905545836759	21.918650591047427	24.168526456992243
Q01082	5	SPTBN1	0.9907	21.309983932079682	21.724512381000324	NA	21.13450194966274	NA	20.14339346877481	21.116148273234952	NA	20.459173603911825	20.34521709141426	20.166141849043935	21.309983932079682
Q02218	3	OGDH	0.9984	24.607217714730734	23.38126124896027	NA	23.82656843139549	23.459951919721885	23.961610934173063	23.359715222530067	24.900657182679375	25.532763633432097	27.594944142946943	24.49361736977178	24.607217714730734
Q02543	1	RPL18A	0.9697	16.777205934352747	16.87702234766974	NA	16.802321685178242	NA	16.816596940158743	16.76244964340416	15.946105209067817	16.76276897176312	16.2902761297876	17.24125345917684	16.777205934352747
Q02556	1	IRF8	0.993	22.080721020761768	21.193189270411736	20.65333399675696	21.41812607706095	20.238858925818324	21.912293098742115	21.46861541970418	21.67354485619662	22.942296712824948	24.659527694030686	23.231618537369332	22.080721020761768
Q03252	2	LMNB2	0.9997	21.820920465188177	22.145895906486864	NA	22.18143349435406	21.780442887558912	22.190791815898145	22.091779483719318	22.513363265050483	21.702106677844018	21.250728640695243	21.35309480628284	21.820920465188177
Q04837	3	SSBP1	0.9996	26.255462693711724	26.440542538863745	24.535426832435427	26.780567325652925	25.377145197918587	26.81571595901495	26.059293751510875	25.881911303199118	26.523644285710912	27.457404482211242	26.35175959788066	26.255462693711724
Q04941	1	PLP2	0.9924	20.37616337593475	19.577665898283417	NA	NA	NA	NA	19.909131608110673	NA	20.443884317064107	20.5273614773092	20.136557884428473	20.37616337593475
Q06830	3	PRDX1	0.996	26.059589232091252	26.093294141142398	NA	27.00589261348861	26.113162744965102	25.726041361945054	26.053802893862475	25.136865359515223	26.847831161815314	26.830359592024767	26.52015014735512	26.059589232091252
Q07666	1	KHDRBS1	0.9625	20.59277614474352	21.21302481419905	NA	20.258067808515108	NA	18.755208256266723	20.86464283999153	NA	17.753175817990147	17.500774259462062	19.00656102089455	20.59277614474352
